name,slug,lat,lng,country,wind_direction,water_type,difficulty,season,url
Alcan Beach,Alcan_Beach,53.9927,-128.6964,Canada,"SE, SSE, S",Chop,"Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Alcan_Beach
Alftanes,Alftanes,64.0898,-22.0104,Iceland,No information,"Flat, Chop","Beginner, Intermediate",,https://se.kiteforum.com/kitesurf/spot/Alftanes
Algarrobo,Algarrobo,-33.3605,-71.6719,Chile,SW,"Flat, Chop, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Algarrobo
Algodoes,Algodoes,-14.078,-38.9543,Brazil,"NE, SE",Medium wave,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Algodoes
Alkandstrand,Alkandstrand,-28.7994,32.0982,South+Africa,"NE, SW","Small wave, Medium wave, Big wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Alkandstrand
Alligator Point67,Alligator_Point67,29.9068,-84.429,Florida+(USA),No information,"Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Alligator_Point67
Alligator Reef Light,Alligator_Reef_Light,24.8517,-80.6184,Florida+(USA),No information,Medium wave,Expert,,https://se.kiteforum.com/kitesurf/spot/Alligator_Reef_Light
Almoe   Slaetthammar,Almoe___Slaetthammar,56.14756,15.441229,Sweden,SSW,"Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Almoe___Slaetthammar
Alro,alro,55.8725,10.1154,Denmark,"SW, WSW, W, WNW, NW","Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/alro
Als / Drejby,Als___Drejby,54.8666,10.008,Denmark,"NE, ENE, E, ESE, SE, SSE, S","Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/Als___Drejby
Als / Drejet Lillehav,Als___Drejet_Lillehav,54.855556,9.992097,Denmark,"N, NNE, NE, ENE, E, ESE, SE, SSE, S, SSW, SW, WSW, W, WNW, NW, NNW","Shallow, Flat, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/Als___Drejet_Lillehav
Als / Mommark,Als___Mommark,54.92781,10.04459,Denmark,"N, NNE, NE, SE, SSE, W","Chop, Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/spot/Als___Mommark
Amager / Poppelvej,Amager___Poppelvej,55.5646,12.6122,Denmark,"E, ESE, SE","Shallow, Flat, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/Amager___Poppelvej
Amager / Strandpark,amager___strandpark,55.6511,12.6472,Denmark,"NE, ENE, E, ESE, SE","Shallow, Flat, Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/amager___strandpark
Amager / Sydvestpynten,amager___sydvest_pynten,55.564,12.56,Denmark,"S, SSW, SW, WSW, W","Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/amager___sydvest_pynten
Amager / Sylten,Amager___Sylten,55.5809,12.6584,Denmark,"E, ESE, SE, SSE","Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/Amager___Sylten
Amanpulo Island,Amanpulo_Island,11.3537,120.7316,Philippines,NE,"Flat, Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Amanpulo_Island
Ambury Park,Ambury_Park,-36.9408,174.7578,New+Zealand,"N, SW, WSW, W, WNW, NW, NNW","Shallow, Flat, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Ambury_Park
Ammersee   Stegen,Ammersee___Stegen,48.07480270088761,11.135926090322169,Germany,No information,"Shallow, Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Ammersee___Stegen
Amores,Amores,-26.9579,-48.6292,Brazil,"NNE, NE, SE","Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Amores
Amroth,Amroth,51.7318,-4.6601,Wales+(UK),"E, ESE, SE","Shallow, Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Amroth
Amrum / Nebeler Kniepsand,amrum___nebeler_kniepsand,54.6466,8.3249,Germany,"S, SSW, SW, NW","Shallow, Flat, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/amrum___nebeler_kniepsand
Amrum / Norddorfer Strand,amrum___norddorfer_strand,54.6876,8.3222,Germany,"N, SW, WSW, W, WNW, NW","Shallow, Flat, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/amrum___norddorfer_strand
Amrum / Wittduen,amrum___wittduen,54.6272,8.4008,Germany,"NE, ENE, E, ESE, SE","Shallow, Flat, Chop",No information,,https://se.kiteforum.com/spot/amrum___wittduen
Amrum / Wittduen Badebucht,Wittd_n_Badebucht,54.6231,8.395,Germany,"ENE, E, ESE, SE, SSE, S, SSW, SW, WSW","Shallow, Flat","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/Wittd_n_Badebucht
Amstelmeer   Lutjesstrand Kitebeach,Amstelmeer___Lutjesstrand_Kitebeach,52.8854,4.9166,Netherlands,W,"Shallow, Flat","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Amstelmeer___Lutjesstrand_Kitebeach
Anakao,Anakao,-23.6717,43.646,Madagascar,S,"Chop, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Anakao
Andoya   Bleik,Andoya___Bleik,69.2878,15.987,Norway,"N, SW, WSW, W, WNW, NW, NNW","Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Andoya___Bleik
Andoya   Dverberg Kirke,Andoya___Dverberg_Kirke,69.1315,16.0219,Norway,"NE, ENE, E, ESE, SE, SSE, S","Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Andoya___Dverberg_Kirke
Andoya   Nordmela,Andoya___Nordmela,69.1319,15.672,Norway,W,"Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Andoya___Nordmela
Andoya   Skogvollvannet,Andoya___Skogvollvannet,69.1542,15.8078,Norway,"SW, WSW, W, WNW, NW, NNW",Flat,"Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Andoya___Skogvollvannet
Andoya   Stave,Andoya___Stave,69.2058,15.8613,Norway,"SW, WSW, W, WNW, NW, NNW","Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Andoya___Stave
Anguib Cove,Anguib_Cove,18.5212,122.2258,Philippines,"NNE, NE","Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Anguib_Cove
Anholt,anholt,56.7097,11.5666,Denmark,"N, NE, E, SE, S, SW, W, NW","Chop, Small wave, Medium wave",No information,,https://se.kiteforum.com/spot/anholt
Anissaras95,Anissaras95,35.3394,25.372,Greece,NW,"Small wave, Medium wave",Expert,,https://se.kiteforum.com/kitesurf/spot/Anissaras95
Ann Ave,Ann_Ave,-34.1627,24.8326,South+Africa,SE,"Medium wave, Big wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Ann_Ave
Anras,Anras,58.0017,11.8086,Sweden,SW,"Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/spot/Anras
Apani,Apani,40.7036,17.8098,Italy,N,"Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Apani
Aparri,Aparri,18.3618,121.6291,Philippines,No information,Medium wave,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aparri
Apelviken,apelviken,57.0812,12.2597,Sweden,"SE, SSE, S, SSW, SW, WSW, W, WNW, NW","Shallow, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/apelviken
Aphrodite Surf Club,Aphrodite_Surf_Club_,35.1812,32.9025,Cyprus,"SSW, SW, WSW, W, WNW","Flat, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aphrodite_Surf_Club_
Aquareve,Aquareve,-22.3112,166.4525,New+Caledonia,"E, SE, S, SW, W","Shallow, Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aquareve
Aracagi,Aracagi,-2.4643,-44.1993,Brazil,NE,"Flat, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aracagi
Araguari River,Araguari_River,1.2071,-50.087,Brazil,No information,"Medium wave, Big wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Araguari_River
Arcadia Beach,Arcadia_Beach,45.8464,-123.9611,Oregon+(USA),NW,Medium wave,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Arcadia_Beach
Archers Spot,Archers_Spot,-0.5417,166.9505,Nauru,No information,"Shallow, Flat, Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Archers_Spot
Are Sjoen,Are_Sjoen,63.3965,13.0758,Sweden,"E, ESE, SE, W","Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Are_Sjoen
Area 51,Area_51,31.3581,-113.6057,Mexico,"N, SW, WSW, W",Flat,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Area_51
Arealonga,Arealonga,43.7302,-7.6897,Spain,NE,"Shallow, Flat, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Arealonga
Areia Branca,Areia_Branca,-23.7809,35.4799,Mozambique,"NE, ENE, E","Shallow, Flat, Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Areia_Branca
Areia Vermelha,Areia_Vermelha,-7.0105,-34.8169,Brazil,E,"Shallow, Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Areia_Vermelha
Argeles sur Mer,Argeles_sur_Mer,42.5748,3.0455,France,ESE,Medium wave,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Argeles_sur_Mer
Aries on the Bay,Aries_on_the_Bay,36.9135,-76.1136,Virginia+(USA),"NE, ENE, E","Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aries_on_the_Bay
Arild,arild,56.2717,12.5924,Sweden,"N, NW, NNW","Chop, Small wave, Medium wave",Expert,,https://se.kiteforum.com/spot/arild
Armacao,Armacao,-27.7306,-48.5074,Brazil,"NE, SE",Medium wave,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Armacao
Army Bay,Army_Bay,-36.6017,174.8114,New+Zealand,"NE, NW",Chop,"Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Army_Bay
Arpoeiras,Arpoeiras,-2.832,-40.0861,Brazil,"ENE, E, ESE","Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Arpoeiras
Arraial dAjuda,Arraial_dAjuda,-16.46,-39.0608,Brazil,SE,"Shallow, Flat, Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Arraial_dAjuda
Arroyo Laguna,Arroyo_Laguna,35.652,-121.2216,California+(USA),"W, WNW, NW",Medium wave,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Arroyo_Laguna
Arroyo de Piedra,Arroyo_de_Piedra,10.6154,-75.4547,Colombia,"N, NNE","Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Arroyo_de_Piedra
Artistas1f,Artistas1f,-10.9738,-37.0347,Brazil,E,"Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Artistas1f
Aruana,Aruana,-11.0269,-37.0756,Brazil,"NE, ENE, E, ESE, SE","Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aruana
Arugam Bay,Arugam_Bay,6.8491,81.8319,Sri+Lanka,"NE, SW","Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Arugam_Bay
Arugam Point,Arugam_Point,6.8395,81.8394,Sri+Lanka,SW,Medium wave,"Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Arugam_Point
Asa,asa,57.1422,10.4257,Denmark,No information,No information,No information,,https://se.kiteforum.com/spot/asa
Aschau,aschau,54.4618,9.9308,Germany,"NE, WSW, W, WNW, NW","Flat, Chop",No information,,https://se.kiteforum.com/spot/aschau
Ashrafi Islands,Ashrafi_Islands,27.7503,33.6959,Egypt,"N, NNE, NE, NW, NNW","Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Ashrafi_Islands
Asia,Asia,-12.7848,-76.594,Peru,S,"Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Asia
Askims Badet,markholmen,57.6251,11.9268,Sweden,"SSW, SW","Shallow, Flat, Chop, Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/spot/markholmen
Assateague Island   Tom s Cove30,Assateague_Island___Tom_s_Cove30,37.8754,-75.3526,Virginia+(USA),"SW, W, NW","Shallow, Flat, Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Assateague_Island___Tom_s_Cove30
Assinie Estuary,Assinie_Estuary,5.1273,-3.2888,Ivory+Coast,No information,"Shallow, Flat, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Assinie_Estuary
Atalaia,Atalaia,-10.9947,-37.0516,Brazil,"E, ESE, SE, SSE, S","Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Atalaia
Atata Island,Atata_Island,-21.0574,-175.2579,Tonga,"NE, ENE, E, ESE, SE, SSE, S, SSW, SW, WSW, W, WNW, NW","Shallow, Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Atata_Island
Aterro,Aterro,41.2095,-8.7155,Portugal,"N, NNE","Chop, Medium wave, Big wave",Expert,,https://se.kiteforum.com/kitesurf/spot/Aterro
Atins,Atins,-2.5672,-42.7467,Brazil,"NE, ENE, E, ESE, SE","Shallow, Flat, Chop, Small wave","Beginner, Intermediate, Expert",July to December maybe extending to mid-January,https://se.kiteforum.com/kitesurf/spot/Atins
Aukrog,aukrog,54.4158,10.2401,Germany,NE,"Shallow, Flat","Beginner, Intermediate, Expert",,https://se.kiteforum.com/spot/aukrog
Aurora Reservoir,Aurora_Reservoir,39.6125,-104.669,Colorado+(USA),"SE, SSE, S",Chop,"Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aurora_Reservoir
Austnesfjorden   Ost Pollen,Austnesfjorden___Ost_Pollen,68.3354,14.7528,Norway,SW,"Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Austnesfjorden___Ost_Pollen
Avalanche,Avalanche,-33.9837,25.6706,South+Africa,SE,Medium wave,Expert,,https://se.kiteforum.com/kitesurf/spot/Avalanche
Aylmer beach,Aylmer_beach,45.3971,-75.8602,Canada,"S, SSW, SW, WSW, W, WNW, NW","Chop, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Aylmer_beach
Ayoke Island,Ayoke_Island,9.3974,126.0562,Philippines,No information,"Shallow, Flat, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Ayoke_Island
Ayoyo,Ayoyo,18.6312,120.8146,Philippines,NE,"Small wave, Medium wave, Big wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Ayoyo
Ayvalik Kite Zone,Ayvalik_Kite_Zone,39.3681,26.7653,Turkey,No information,"Shallow, Flat, Chop","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Ayvalik_Kite_Zone
Azalas,Azalas,37.0869,25.5924,Greece,"N, NNE","Chop, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Azalas
BLACKROCK SANDS,BLACKROCK_SANDS,52.9104,-4.1884,Wales+(UK),"SSE, S, SSW, SW",No information,"Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/BLACKROCK_SANDS
Baarland,Baarland,51.39289973,3.89588194,Netherlands,"E, ESE, SE, SSE, S, SSW","Chop, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Baarland
Babites Ezers,Babites_Ezers,56.9418,23.793,Latvia,No information,Shallow,"Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Babites_Ezers
Baby Bay,Baby_Bay,28.4714,34.5069,Egypt,"N, NNE, NE",Flat,"Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Baby_Bay
Baeckerswerft,baeckerswerft,54.852,9.5523,Germany,"S, SSW, SW, WSW, W","Shallow, Flat, Chop","Intermediate, Expert",,https://se.kiteforum.com/spot/baeckerswerft
Bagasbas Beach,Bagasbas_Beach,14.1381,122.983,Philippines,"NE, ENE","Shallow, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Bagasbas_Beach
Bahia Inglesa,Bahia_Inglesa,-27.1277,-70.8606,Chile,"S, SSW, SW, WSW, W","Shallow, Flat, Chop, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Bahia_Inglesa
Baia Formosa,Baia_Formosa,-6.3676,-35.0024,Brazil,"NE, ENE, E, ESE","Small wave, Medium wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Baia_Formosa
Baia Norte   Sao Vicente,Baia_Norte___Sao_Vicente,16.886,-24.9141,Cape+Verde,"NNE, NE","Small wave, Medium wave, Big wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Baia_Norte___Sao_Vicente
Baia das Gates,Baia_das_Gates,16.9041,-24.9064,Cape+Verde,NE,"Shallow, Flat, Small wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Baia_das_Gates
Baie des Signes,Baie_des_Signes,-25.0508,46.9602,Madagascar,"NE, SE","Small wave, Medium wave, Big wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Baie_des_Signes
Baileys Harbor,Baileys_Harbor,45.0584,-87.1237,Wisconsin+(USA),"ESE, SE, SSE, S","Shallow, Chop, Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Baileys_Harbor
Baisha   Citou Beach,Baisha___Citou_Beach,23.6525,119.612,Taiwan,"NNE, NE, ENE","Flat, Chop, Small wave","Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Baisha___Citou_Beach
Baja California   Campo Rene,Baja_California___Campo_Rene,26.7895,-113.5111,Mexico,No information,"Small wave, Medium wave","Beginner, Intermediate, Expert",,https://se.kiteforum.com/kitesurf/spot/Baja_California___Campo_Rene
